Gene,Non-unique Gene name,Annotation,Bvulgatus_003,Bvulgatus_002,Bvulgatus_001,Bvulgatus_007,Bvulgatus_005,Bvulgatus_004,Bvulgatus_008,Bvulgatus_006,Bvulgatus_009,Bvulgatus_010,Bvulgatus_011,Bvulgatus_012,Bvulgatus_013,Bvulgatus_015,Bvulgatus_014,Bvulgatus_016
group_6288,,hypothetical protein,HEIJGMMO_03282,GPOEIMLL_03541,IJAHANFD_03296,DILGGDIB_02613,PACOMJFE_04070,DLCGALLP_00377,BFLOPMGA_01589,FDBKJOBC_03923,NKLAJGJN_03936,FONGECLK_03704,KCGFLPLG_03934,OLJLFCEF_03477,AABBIEKD_03820,KHFKBGOE_04229,MIHLPIAK_03970,FIKBGKBO_03093
group_6284,,hypothetical protein,HEIJGMMO_01270,GPOEIMLL_00534,IJAHANFD_01960,DILGGDIB_00396,PACOMJFE_00057,DLCGALLP_02208,BFLOPMGA_02558,FDBKJOBC_01906,NKLAJGJN_01505,FONGECLK_01227,KCGFLPLG_01351,OLJLFCEF_03901,AABBIEKD_01975,KHFKBGOE_01609,MIHLPIAK_00056,FIKBGKBO_00259
lacZ_8~~~lacZ_13,lacZ_8;lacZ_13,Beta-galactosidase,HEIJGMMO_03403,GPOEIMLL_00804,IJAHANFD_00398,DILGGDIB_02723,PACOMJFE_00385,DLCGALLP_01367,BFLOPMGA_01794,FDBKJOBC_03378,NKLAJGJN_02823,FONGECLK_00327,KCGFLPLG_02947,OLJLFCEF_03266,AABBIEKD_00169,KHFKBGOE_02617,MIHLPIAK_00381,FIKBGKBO_00661
group_6271,,hypothetical protein,HEIJGMMO_03250,GPOEIMLL_02210,IJAHANFD_03328,DILGGDIB_01488,PACOMJFE_04150,DLCGALLP_03090;DLCGALLP_03089,BFLOPMGA_03628,FDBKJOBC_03891,NKLAJGJN_01775;NKLAJGJN_01776,FONGECLK_03746;FONGECLK_03745,KCGFLPLG_01767;KCGFLPLG_01768,OLJLFCEF_03977,AABBIEKD_00901;AABBIEKD_00900,KHFKBGOE_04126;KHFKBGOE_04125,MIHLPIAK_04130,FIKBGKBO_02422
wbnK_1~~~wbnK_2,wbnK_1;wbnK_2,O-antigen biosynthesis glycosyltransferase WbnK,HEIJGMMO_03292,GPOEIMLL_03531,IJAHANFD_03286,DILGGDIB_02623,PACOMJFE_04080,DLCGALLP_00371,BFLOPMGA_01599,FDBKJOBC_03933,NKLAJGJN_03927,FONGECLK_03714,KCGFLPLG_03943,OLJLFCEF_03487,AABBIEKD_03830,KHFKBGOE_04347,MIHLPIAK_03980,FIKBGKBO_03103
group_6269,,hypothetical protein,HEIJGMMO_01512,GPOEIMLL_02372,IJAHANFD_02014,DILGGDIB_02830,PACOMJFE_01149,DLCGALLP_02757,BFLOPMGA_03695,FDBKJOBC_02541,NKLAJGJN_00159,FONGECLK_00779,KCGFLPLG_00159,OLJLFCEF_02112,AABBIEKD_02501,KHFKBGOE_01718,MIHLPIAK_01344,FIKBGKBO_01253
yhcG_4~~~yhcG_5~~~yhcG_2~~~yhcG_3,yhcG_4;yhcG_5;yhcG_2;yhcG_3,Putative nuclease YhcG,HEIJGMMO_00841,GPOEIMLL_02888,IJAHANFD_01090,DILGGDIB_03284,PACOMJFE_03837,DLCGALLP_03469,BFLOPMGA_01974,FDBKJOBC_03030,NKLAJGJN_00110,FONGECLK_00829,KCGFLPLG_00110,OLJLFCEF_02513,AABBIEKD_03019,KHFKBGOE_03394,MIHLPIAK_03673,FIKBGKBO_02047
group_6255,,hypothetical protein,HEIJGMMO_00416,GPOEIMLL_01982,IJAHANFD_00256,DILGGDIB_01179,PACOMJFE_01446,DLCGALLP_00816,BFLOPMGA_01420,FDBKJOBC_00866,NKLAJGJN_00339,FONGECLK_00205,KCGFLPLG_00493,OLJLFCEF_00343,AABBIEKD_01498,KHFKBGOE_01258,MIHLPIAK_01642,FIKBGKBO_03397
lolA,lolA,Outer-membrane lipoprotein carrier protein,HEIJGMMO_00460,GPOEIMLL_02035,IJAHANFD_00212,DILGGDIB_01125,PACOMJFE_01499,DLCGALLP_00874,BFLOPMGA_00475,FDBKJOBC_00910,NKLAJGJN_03124,FONGECLK_00151,KCGFLPLG_03239,OLJLFCEF_00396,AABBIEKD_01444,KHFKBGOE_01197,MIHLPIAK_01695,FIKBGKBO_02121
COQ3_1,COQ3_1,Ubiquinone biosynthesis O-methyltransferase mitochondrial,HEIJGMMO_02287,GPOEIMLL_02529,IJAHANFD_01655,DILGGDIB_02961,PACOMJFE_02680,DLCGALLP_01998,BFLOPMGA_01155,FDBKJOBC_01127,NKLAJGJN_02632,FONGECLK_01961,KCGFLPLG_02696,OLJLFCEF_01974,AABBIEKD_03642,KHFKBGOE_01793,MIHLPIAK_02764,FIKBGKBO_02799
group_6247,,hypothetical protein,HEIJGMMO_03361,GPOEIMLL_00388,IJAHANFD_03947,DILGGDIB_01880,PACOMJFE_00229,DLCGALLP_01541,BFLOPMGA_04098,FDBKJOBC_00360,NKLAJGJN_02046,FONGECLK_00025,KCGFLPLG_02037,OLJLFCEF_00168,AABBIEKD_01644,KHFKBGOE_00168,MIHLPIAK_00228,FIKBGKBO_00433
xerC_1~~~xerC_18,xerC_1;;xerC_18,Tyrosine recombinase XerC;hypothetical protein,HEIJGMMO_03698,GPOEIMLL_01033,IJAHANFD_00617,DILGGDIB_03881,PACOMJFE_03830,DLCGALLP_00006,BFLOPMGA_00244,FDBKJOBC_00117,NKLAJGJN_00860,FONGECLK_01729,KCGFLPLG_04031,OLJLFCEF_02681,AABBIEKD_04217,KHFKBGOE_04395,MIHLPIAK_04287,FIKBGKBO_04191
susC_1~~~susC_8,susC_1;susC_8;,TonB-dependent receptor SusC;TonB-dependent receptor P3,HEIJGMMO_00004,GPOEIMLL_01030,IJAHANFD_00599,DILGGDIB_02244,PACOMJFE_02049,DLCGALLP_00005;DLCGALLP_03087,BFLOPMGA_00236,FDBKJOBC_00133,NKLAJGJN_01169,FONGECLK_01728,KCGFLPLG_01316,OLJLFCEF_02686,AABBIEKD_04005,KHFKBGOE_02950,MIHLPIAK_02111,FIKBGKBO_02822
group_6243,,hypothetical protein,HEIJGMMO_01366,GPOEIMLL_00648,IJAHANFD_00899,DILGGDIB_02186,PACOMJFE_01866,DLCGALLP_01676,BFLOPMGA_00714,FDBKJOBC_00555,NKLAJGJN_02304,FONGECLK_01566,KCGFLPLG_02205,OLJLFCEF_00671,AABBIEKD_02162,KHFKBGOE_00348,MIHLPIAK_01027,FIKBGKBO_00901
lapB~~~lapB_2,lapB;;lapB_2,Lipopolysaccharide assembly protein B;hypothetical protein,HEIJGMMO_02499,GPOEIMLL_03010,IJAHANFD_03035,DILGGDIB_02465,PACOMJFE_03122,DLCGALLP_02894,BFLOPMGA_04263,FDBKJOBC_03325,NKLAJGJN_02899,FONGECLK_00932,KCGFLPLG_02972,OLJLFCEF_02967,AABBIEKD_03314,KHFKBGOE_03501,MIHLPIAK_03145,FIKBGKBO_02671
envC,envC;,Murein hydrolase activator EnvC;hypothetical protein,HEIJGMMO_02966,GPOEIMLL_01617,IJAHANFD_01388,DILGGDIB_03400,PACOMJFE_03548,DLCGALLP_00542,BFLOPMGA_02591,FDBKJOBC_01529,NKLAJGJN_03621,FONGECLK_03110,KCGFLPLG_03646,OLJLFCEF_03554,AABBIEKD_03530,KHFKBGOE_00770,MIHLPIAK_03442,FIKBGKBO_03420
group_6210,,hypothetical protein,HEIJGMMO_03439,GPOEIMLL_03738,IJAHANFD_03771,DILGGDIB_02596,PACOMJFE_03686,DLCGALLP_03716,BFLOPMGA_02836,FDBKJOBC_03996,NKLAJGJN_03185,FONGECLK_02526,KCGFLPLG_03294,OLJLFCEF_04336,AABBIEKD_02948,KHFKBGOE_03355,MIHLPIAK_03704,FIKBGKBO_02739
group_6209,,hypothetical protein,HEIJGMMO_02943,GPOEIMLL_03085,IJAHANFD_03396,DILGGDIB_02536,PACOMJFE_04177,DLCGALLP_04153,BFLOPMGA_02761,FDBKJOBC_03459,NKLAJGJN_03317,FONGECLK_02878,KCGFLPLG_03425,OLJLFCEF_03328,AABBIEKD_02887,KHFKBGOE_03296,MIHLPIAK_04169,FIKBGKBO_02679
btuD_7~~~btuD_8,btuD_7;btuD_8,Vitamin B12 import ATP-binding protein BtuD,HEIJGMMO_02500,GPOEIMLL_03011,IJAHANFD_03036,DILGGDIB_02464,PACOMJFE_03121,DLCGALLP_02895,BFLOPMGA_04262,FDBKJOBC_03324,NKLAJGJN_02900,FONGECLK_00933,KCGFLPLG_02973,OLJLFCEF_02966,AABBIEKD_03313,KHFKBGOE_03500,MIHLPIAK_03146,FIKBGKBO_02670
group_6206,,hypothetical protein,HEIJGMMO_00336,GPOEIMLL_01076,IJAHANFD_00337,DILGGDIB_00033,PACOMJFE_01117,DLCGALLP_02640,BFLOPMGA_01507,FDBKJOBC_00784;FDBKJOBC_00785,NKLAJGJN_00417,FONGECLK_00493,KCGFLPLG_00415,OLJLFCEF_01239,AABBIEKD_00437,KHFKBGOE_02491,MIHLPIAK_01312,FIKBGKBO_00075
group_6198,,hypothetical protein,HEIJGMMO_02965,GPOEIMLL_01618,IJAHANFD_01387,DILGGDIB_03399,PACOMJFE_03549,DLCGALLP_00541,BFLOPMGA_02590,FDBKJOBC_01530,NKLAJGJN_03620,FONGECLK_03109,KCGFLPLG_03645,OLJLFCEF_03555,AABBIEKD_03529,KHFKBGOE_00769,MIHLPIAK_03441,FIKBGKBO_03419
group_6193,,hypothetical protein,HEIJGMMO_03438,GPOEIMLL_03740,IJAHANFD_03772,DILGGDIB_02595,PACOMJFE_03687,DLCGALLP_03717,BFLOPMGA_02835,FDBKJOBC_03995,NKLAJGJN_03184,FONGECLK_02525,KCGFLPLG_03293,OLJLFCEF_04338,AABBIEKD_02947,KHFKBGOE_03354,MIHLPIAK_03705,FIKBGKBO_02738
group_6192,,hypothetical protein,HEIJGMMO_02942,GPOEIMLL_03086,IJAHANFD_03397,DILGGDIB_02537,PACOMJFE_04176,DLCGALLP_04154,BFLOPMGA_02762,FDBKJOBC_03460,NKLAJGJN_03318,FONGECLK_02879,KCGFLPLG_03426,OLJLFCEF_03329,AABBIEKD_02888,KHFKBGOE_03297,MIHLPIAK_04170,FIKBGKBO_02680
group_6191,,hypothetical protein,HEIJGMMO_01971,GPOEIMLL_01660,IJAHANFD_01343,DILGGDIB_03171,PACOMJFE_02254,DLCGALLP_00498,BFLOPMGA_02902,FDBKJOBC_01574,NKLAJGJN_02409,FONGECLK_01525,KCGFLPLG_02427,OLJLFCEF_01740,AABBIEKD_02266,KHFKBGOE_00725,MIHLPIAK_02316,FIKBGKBO_01577
group_6187,,hypothetical protein,HEIJGMMO_01804,GPOEIMLL_00770,IJAHANFD_01046,DILGGDIB_01662,PACOMJFE_01252,DLCGALLP_01715,BFLOPMGA_00584,FDBKJOBC_00702,NKLAJGJN_00265,FONGECLK_03268,KCGFLPLG_00264,OLJLFCEF_00541,AABBIEKD_01364,KHFKBGOE_02350,MIHLPIAK_01447,FIKBGKBO_01033
COQ5_1~~~COQ5,COQ5_1;COQ5,2-methoxy-6-polyprenyl-14-benzoquinol methylase mitochondrial,HEIJGMMO_02885,GPOEIMLL_02236,IJAHANFD_03383,DILGGDIB_01464,PACOMJFE_03216,DLCGALLP_03116,BFLOPMGA_03605,FDBKJOBC_02221,NKLAJGJN_01801,FONGECLK_03784,KCGFLPLG_01793,OLJLFCEF_04003,AABBIEKD_00925,KHFKBGOE_04150,MIHLPIAK_03228,FIKBGKBO_02446
group_6183,,hypothetical protein,HEIJGMMO_03443,GPOEIMLL_03733,IJAHANFD_03766,DILGGDIB_02600;DILGGDIB_03846,PACOMJFE_03682,DLCGALLP_04301,BFLOPMGA_02842;BFLOPMGA_02841,FDBKJOBC_04001,NKLAJGJN_03189,FONGECLK_02530,KCGFLPLG_03298,OLJLFCEF_04256,AABBIEKD_02952,KHFKBGOE_03360,MIHLPIAK_03700,FIKBGKBO_02743
group_6182,,hypothetical protein,HEIJGMMO_02501,GPOEIMLL_03012,IJAHANFD_03037,DILGGDIB_02463,PACOMJFE_03120,DLCGALLP_02896,BFLOPMGA_04261,FDBKJOBC_03323,NKLAJGJN_02901,FONGECLK_00934,KCGFLPLG_02974,OLJLFCEF_02965,AABBIEKD_03312,KHFKBGOE_03499,MIHLPIAK_03147,FIKBGKBO_02669
group_6181,,hypothetical protein,HEIJGMMO_00335,GPOEIMLL_01077,IJAHANFD_00338,DILGGDIB_00034,PACOMJFE_01116,DLCGALLP_02641,BFLOPMGA_01508,FDBKJOBC_00783,NKLAJGJN_00418,FONGECLK_00494,KCGFLPLG_00414,OLJLFCEF_01240,AABBIEKD_00436,KHFKBGOE_02492,MIHLPIAK_01311,FIKBGKBO_00076
group_6170,arsC;,Arsenate reductase;hypothetical protein,HEIJGMMO_03440,GPOEIMLL_03737,IJAHANFD_03770,DILGGDIB_02597,PACOMJFE_03685,DLCGALLP_03714,BFLOPMGA_02837,FDBKJOBC_03997,NKLAJGJN_03186,FONGECLK_02527,KCGFLPLG_03295,OLJLFCEF_04335,AABBIEKD_02949,KHFKBGOE_03356,MIHLPIAK_03703,FIKBGKBO_02740
prmC,prmC,Release factor glutamine methyltransferase,HEIJGMMO_00381,GPOEIMLL_01948,IJAHANFD_00291,DILGGDIB_03554,PACOMJFE_01412,DLCGALLP_00778,BFLOPMGA_01454,FDBKJOBC_00831,NKLAJGJN_00373,FONGECLK_00239,KCGFLPLG_00459,OLJLFCEF_00309,AABBIEKD_01532,KHFKBGOE_01293,MIHLPIAK_01608,FIKBGKBO_03362
tolQ_3~~~tolQ_1,tolQ_3;tolQ_1,Tol-Pal system protein TolQ,HEIJGMMO_00101,GPOEIMLL_00931,IJAHANFD_00512,DILGGDIB_02369,PACOMJFE_02136,DLCGALLP_04146,BFLOPMGA_00143,FDBKJOBC_00220,NKLAJGJN_01074,FONGECLK_00863,KCGFLPLG_01221,OLJLFCEF_01047,AABBIEKD_03420,KHFKBGOE_02718,MIHLPIAK_02198,FIKBGKBO_02572
group_6158,,hypothetical protein,HEIJGMMO_01803,GPOEIMLL_00769,IJAHANFD_01045,DILGGDIB_01663,PACOMJFE_01253,DLCGALLP_01716,BFLOPMGA_00585,FDBKJOBC_00701,NKLAJGJN_00266,FONGECLK_03267,KCGFLPLG_00265,OLJLFCEF_00542,AABBIEKD_01363,KHFKBGOE_02351,MIHLPIAK_01448,FIKBGKBO_01032
bepA_1~~~bepA_3,bepA_1;bepA_3,Beta-barrel assembly-enhancing protease,HEIJGMMO_02964,GPOEIMLL_01619,IJAHANFD_01386,DILGGDIB_03398,PACOMJFE_03550,DLCGALLP_00540,BFLOPMGA_02589,FDBKJOBC_01531,NKLAJGJN_03619,FONGECLK_03108,KCGFLPLG_03644,OLJLFCEF_03556,AABBIEKD_03528,KHFKBGOE_00768,MIHLPIAK_03440,FIKBGKBO_03418
group_6149,,hypothetical protein,HEIJGMMO_03437,GPOEIMLL_03741,IJAHANFD_03773,DILGGDIB_02594,PACOMJFE_03688,DLCGALLP_03718,BFLOPMGA_02834,FDBKJOBC_03994,NKLAJGJN_03183,FONGECLK_02524,KCGFLPLG_03292,OLJLFCEF_04339,AABBIEKD_02946,KHFKBGOE_03353,MIHLPIAK_03706,FIKBGKBO_02737
rcsC_38~~~rcsC_22,rcsC_38;;rcsC_22,Sensor histidine kinase RcsC;hypothetical protein,HEIJGMMO_02941,GPOEIMLL_03087,IJAHANFD_03398,DILGGDIB_02538,PACOMJFE_04175,DLCGALLP_04155,BFLOPMGA_02763,FDBKJOBC_03461,NKLAJGJN_03319,FONGECLK_01856,KCGFLPLG_03427,OLJLFCEF_03330,AABBIEKD_02889,KHFKBGOE_03298,MIHLPIAK_04171,FIKBGKBO_02681
deaD_1~~~deaD_2,deaD_1;deaD_2,ATP-dependent RNA helicase DeaD,HEIJGMMO_02645,GPOEIMLL_01763,IJAHANFD_03119,DILGGDIB_03479,PACOMJFE_02170,DLCGALLP_00395,BFLOPMGA_04026,FDBKJOBC_04059,NKLAJGJN_03667,FONGECLK_01443,KCGFLPLG_03691,OLJLFCEF_01641,AABBIEKD_02349,KHFKBGOE_04047,MIHLPIAK_02232,FIKBGKBO_01664
hlyB~~~apxIB,hlyB;;apxIB,Alpha-hemolysin translocation ATP-binding protein HlyB;hypothetical protein;Toxin RTX-I translocation ATP-binding protein,HEIJGMMO_00925,GPOEIMLL_02135,IJAHANFD_01760,DILGGDIB_00795,PACOMJFE_00494,DLCGALLP_02162,BFLOPMGA_03174,FDBKJOBC_01409,NKLAJGJN_00611,FONGECLK_00427,KCGFLPLG_00611,OLJLFCEF_02865,AABBIEKD_00070,KHFKBGOE_02032,MIHLPIAK_00490,FIKBGKBO_00759
group_6148,,hypothetical protein,HEIJGMMO_01970,GPOEIMLL_01661,IJAHANFD_01342,DILGGDIB_03172,PACOMJFE_02253,DLCGALLP_00497,BFLOPMGA_02901,FDBKJOBC_01575,NKLAJGJN_02410,FONGECLK_01524,KCGFLPLG_02426,OLJLFCEF_01739,AABBIEKD_02267,KHFKBGOE_00724,MIHLPIAK_02315,FIKBGKBO_01578
phoP_2~~~phoP_1,phoP_2;phoP_1,Alkaline phosphatase synthesis transcriptional regulatory protein PhoP,HEIJGMMO_00337,GPOEIMLL_01075,IJAHANFD_00336,DILGGDIB_00032,PACOMJFE_03372,DLCGALLP_02038,BFLOPMGA_01506,FDBKJOBC_00786,NKLAJGJN_00416,FONGECLK_03012,KCGFLPLG_00416,OLJLFCEF_01238,AABBIEKD_03508,KHFKBGOE_02490,MIHLPIAK_03270,FIKBGKBO_00074
group_6147,,hypothetical protein,HEIJGMMO_01272;HEIJGMMO_01271,GPOEIMLL_00535,IJAHANFD_01962;IJAHANFD_01961,DILGGDIB_00395,PACOMJFE_00056,DLCGALLP_02201,BFLOPMGA_02557,FDBKJOBC_01907;FDBKJOBC_01908,NKLAJGJN_01504,FONGECLK_01228,KCGFLPLG_01350,OLJLFCEF_03902,AABBIEKD_01976,KHFKBGOE_01610,MIHLPIAK_00055,FIKBGKBO_00258
group_6145,,hypothetical protein,HEIJGMMO_03346,GPOEIMLL_01228,IJAHANFD_02420,DILGGDIB_00302,PACOMJFE_00968,DLCGALLP_03775,BFLOPMGA_03537,FDBKJOBC_02065,NKLAJGJN_01463,FONGECLK_00663,KCGFLPLG_01596,OLJLFCEF_01186,AABBIEKD_04100,KHFKBGOE_02826,MIHLPIAK_01163,FIKBGKBO_00245
ribD,ribD,Riboflavin biosynthesis protein RibD,HEIJGMMO_00382,GPOEIMLL_01949,IJAHANFD_00290,DILGGDIB_03555,PACOMJFE_01413,DLCGALLP_00779,BFLOPMGA_01453,FDBKJOBC_00832,NKLAJGJN_00372,FONGECLK_00238,KCGFLPLG_00460,OLJLFCEF_00310,AABBIEKD_01531,KHFKBGOE_01292,MIHLPIAK_01609,FIKBGKBO_03363
accA1~~~carB_3~~~accC~~~accC_1,accA1;;carB_3;accC;accC_1,Acetyl-/propionyl-coenzyme A carboxylase alpha chain;hypothetical protein;Carbamoyl-phosphate synthase large chain;Biotin carboxylase,HEIJGMMO_03626;HEIJGMMO_03625,GPOEIMLL_03369,IJAHANFD_01454,DILGGDIB_03457,PACOMJFE_04198,DLCGALLP_02820,BFLOPMGA_02643,FDBKJOBC_01479,NKLAJGJN_03858,FONGECLK_03766,KCGFLPLG_03854,OLJLFCEF_03905;OLJLFCEF_04182,AABBIEKD_03045,KHFKBGOE_00811;KHFKBGOE_00810,MIHLPIAK_03333,FIKBGKBO_03340
group_6136,,hypothetical protein,HEIJGMMO_01805,GPOEIMLL_00771,IJAHANFD_01047,DILGGDIB_01661,PACOMJFE_01251,DLCGALLP_01714,BFLOPMGA_00583,FDBKJOBC_00703,NKLAJGJN_00264,FONGECLK_03269,KCGFLPLG_00263,OLJLFCEF_00540,AABBIEKD_01365,KHFKBGOE_02349,MIHLPIAK_01446,FIKBGKBO_01034
gltB,gltB,Ferredoxin-dependent glutamate synthase 1,HEIJGMMO_03421,GPOEIMLL_01771,IJAHANFD_03747,DILGGDIB_02479,PACOMJFE_00568,DLCGALLP_00762,BFLOPMGA_03101,FDBKJOBC_03973,NKLAJGJN_01322,FONGECLK_03586,KCGFLPLG_01165,OLJLFCEF_02410,AABBIEKD_00715,KHFKBGOE_00818,MIHLPIAK_00761,FIKBGKBO_03673
yvbK,yvbK,putative N-acetyltransferase YvbK,HEIJGMMO_02884,GPOEIMLL_02237,IJAHANFD_03382,DILGGDIB_01463,PACOMJFE_03217,DLCGALLP_03117,BFLOPMGA_03604,FDBKJOBC_02222,NKLAJGJN_01802,FONGECLK_03785,KCGFLPLG_01794,OLJLFCEF_04004,AABBIEKD_00926,KHFKBGOE_03864,MIHLPIAK_03229,FIKBGKBO_02447
bacC,bacC,Dihydroanticapsin 7-dehydrogenase,HEIJGMMO_03444,GPOEIMLL_03732,IJAHANFD_03765,DILGGDIB_03845,PACOMJFE_03681,DLCGALLP_04300,BFLOPMGA_02843,FDBKJOBC_04002,NKLAJGJN_03190,FONGECLK_02531,KCGFLPLG_03299,OLJLFCEF_04257,AABBIEKD_02953,KHFKBGOE_03361,MIHLPIAK_03699,FIKBGKBO_02744
dinB~~~dinB_1~~~dinB_2,dinB;dinB_1;dinB_2,DNA polymerase IV,HEIJGMMO_00047;HEIJGMMO_00048,GPOEIMLL_00987,IJAHANFD_00556,DILGGDIB_02287,PACOMJFE_02092,DLCGALLP_03044,BFLOPMGA_00192,FDBKJOBC_00176,NKLAJGJN_01126,FONGECLK_01685,KCGFLPLG_01273,OLJLFCEF_02729,AABBIEKD_02027,KHFKBGOE_02995,MIHLPIAK_02154,FIKBGKBO_02865
group_6128,,hypothetical protein,HEIJGMMO_02917,GPOEIMLL_03118,IJAHANFD_03424,DILGGDIB_02563,PACOMJFE_03870,DLCGALLP_03748,BFLOPMGA_02789,FDBKJOBC_03496,NKLAJGJN_03344,FONGECLK_01830,KCGFLPLG_03452,OLJLFCEF_03361,AABBIEKD_02915,KHFKBGOE_03322,MIHLPIAK_03735,FIKBGKBO_02706
pccB_4~~~pccB_3,;pccB_4;pccB_3,hypothetical protein;Propionyl-CoA carboxylase beta chain,HEIJGMMO_03293,GPOEIMLL_03367,IJAHANFD_01456;IJAHANFD_01455;IJAHANFD_01457,DILGGDIB_03455,PACOMJFE_03477,DLCGALLP_02822,BFLOPMGA_02645,FDBKJOBC_03934,NKLAJGJN_03860,FONGECLK_02452,KCGFLPLG_03856,OLJLFCEF_03907,AABBIEKD_03047,KHFKBGOE_03916,MIHLPIAK_03331,FIKBGKBO_03338
ytrA,ytrA;,HTH-type transcriptional repressor YtrA;hypothetical protein,HEIJGMMO_02502,GPOEIMLL_03013,IJAHANFD_03038,DILGGDIB_02462,PACOMJFE_03119,DLCGALLP_02897,BFLOPMGA_04260,FDBKJOBC_03322,NKLAJGJN_02902,FONGECLK_00935,KCGFLPLG_02975,OLJLFCEF_02964,AABBIEKD_03311,KHFKBGOE_03498,MIHLPIAK_03148,FIKBGKBO_02668
